feature,importance
Component1_Property7,757
Component2_fraction,728
Component1_fraction,698
Component3_Property7,590
Component4_Property5,568
Component4_fraction,551
Component2_Property7,527
Component2_Property8,502
Component5_fraction,478
Component4_Property7,431
Component3_fraction,290
Property7_mean,275
Component5_Property7,250
Component1_Property8,243
Property7_min,241
Component3_Property5,224
Property7_std,172
Property5_mean,158
Component4_Property4,149
Property7_max,144
Component1_Property5,143
Component3_Property2,137
Component3_Property4,134
Component4_Property8,130
Property8_max,126
Component2_Property3,124
Component5_Property4,122
Component5_Property5,122
Component2_Property6,121
Property5_min,120
Component5_Property3,120
Property3_mean,117
Component3_Property8,117
Component4_Property9,117
Component3_Property1,116
Property8_mean,114
Property9_max,111
Component1_Property3,110
Component4_Property1,110
Component4_Property6,108
Component2_Property10,106
Component2_Property5,105
Component4_Property3,105
Component4_Property10,105
Property3_std,103
Property5_max,103
Property2_std,101
Property9_mean,101
Component5_Property6,98
Component1_Property1,97
Property10_mean,97
Component2_Property9,95
Property3_max,95
Property9_std,93
Property2_min,93
Component3_Property9,93
Property5_std,93
Component3_Property10,93
Component2_Property4,91
Component5_Property8,91
Component1_Property10,90
Property6_std,89
Property4_std,89
Property3_min,88
Component5_Property2,87
Component1_Property6,87
Component5_Property9,86
Component2_Property2,86
Component4_Property2,86
Property6_max,84
Property1_std,83
Component1_Property4,82
Component5_Property10,82
Property1_max,80
Property10_min,80
Property2_mean,79
Property2_max,77
Property6_min,77
Component1_Property9,76
Property4_max,74
Component3_Property3,74
Component1_Property2,73
Component5_Property1,72
Property8_min,71
Property10_std,71
Property1_mean,70
Property4_min,69
Component2_Property1,68
Property8_std,67
Property1_min,64
Property10_max,60
Property9_min,57
Property6_mean,57
Component3_Property6,56
Property4_mean,56
